Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,shot_direction,shot_curvature,shot_type
2022-11-27 10:58:16,Rok,PW XXIO eleven,Pitching Wedge,107.45999715,-3.35,5.08,4.3,-0.78,140.68800286,1.30921279,23.11000061,4.17000008,5741.21728516,83.17442322,5741.81982422,Estimated,-0.82999998,19.06999969,100.51999664,4.23000002,7.40999985,106.25,4.19000006,7.75,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 10:58:33,Rok,PW XXIO eleven,Pitching Wedge,116.78399691,-1.67,3.3,6.25,2.95,143.31600115,1.2271887,26.44000053,5.55000019,7275.05566406,-222.27304077,7278.45019531,Estimated,1.75,23.61000061,98.90000153,7.09000015,12.21000004,102.26000214,7.07999992,12.60000038,,,1.2276154,5.0,98.3,86,PUSH,NEUTRAL,PUSH
2022-11-27 10:59:25,Rok,PW XXIO eleven,Pitching Wedge,124.30799671,-0.95,-1.98,4.81,6.79,159.22799413,1.28091513,15.68000031,3.71000004,4636.51074219,-600.53192139,4675.24023438,Estimated,7.38000011,15.55000019,118.11000061,6.82999992,14.05000019,127.55999756,7.01000023,15.56999969,,,1.2276154,5.0,98.3,86,STRAIGHT,FADE,STRAIGHT_FADE
2022-11-27 10:59:43,Rok,PW XXIO eleven,Pitching Wedge,129.02399658,-0.85,-0.53,-1.61,-1.08,166.85999009,1.29324773,15.77999973,-1.38999999,4959.45898438,93.49466705,4960.33984375,Estimated,-1.08000004,18.20999908,126.70999908,-1.95000005,-4.32000017,135.27000427,-1.97000003,-4.6500001,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:00:21,Rok,PW XXIO eleven,Pitching Wedge,132.0839965,-5.68,3.89,0.47,-3.42,156.27599531,1.18315617,13.77000046,0.87,4570.02783203,338.80969238,4582.56982422,Estimated,-4.23999977,12.64000034,112.69999695,-0.63999999,-1.25,123.66000366,-0.76999998,-1.66999996,,,1.2276154,5.0,98.3,86,STRAIGHT,DRAW,STRAIGHT_DRAW
2022-11-27 11:01:38,Rok,7I XXIO eleven,7 Iron,122.65199675,2.63,3.9,-0.49,-4.39,167.11198898,1.36248894,15.78999996,0.08,4267.15917969,397.35479736,4285.62011719,Estimated,-5.32000017,17.54000092,128.52999878,-2.04999995,-4.5999999,138.44999695,-2.19000006,-5.30000019,,,1.2276154,5.0,98.3,86,STRAIGHT,DRAW,STRAIGHT_DRAW
2022-11-27 11:02:21,Rok,7I XXIO eleven,7 Iron,109.22399711,-2.89,7.01,9.12,2.11,97.34400072,0.89123273,12.96000004,8.36999989,4107.49902344,-126.93058777,4109.45996094,Estimated,1.76999998,2.92000008,42.0,8.75,6.38999987,60.06000137,8.78999996,9.18000031,,,1.2276154,5.0,98.3,86,PUSH,NEUTRAL,PUSH
2022-11-27 11:02:47,Rok,7I XXIO eleven,7 Iron,116.74799691,-1.03,1.1,1.82,0.72,150.8400015,1.29201361,19.62000084,1.63,5097.75,-52.4956398,5098.02001953,Estimated,0.58999997,18.22999954,111.33000183,2.0,3.8900001,119.08000183,2.0,4.17000008,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:03:05,Rok,7I XXIO eleven,7 Iron,124.23599671,-1.99,2.99,-0.29,-3.28,150.44399931,1.21095337,16.81999969,0.13,4692.07519531,301.77822876,4701.77001953,Estimated,-3.68000007,14.73999977,109.69000244,-1.23000002,-2.3599999,118.80000305,-1.33000004,-2.75999999,,,1.2276154,5.0,98.3,86,STRAIGHT,DRAW,STRAIGHT_DRAW
2022-11-27 11:03:51,Rok,7I XXIO eleven,7 Iron,122.79599675,0.33,2.82,-0.32,-3.14,159.94799686,1.30255058,15.72999954,0.09,4402.66455078,285.47915649,4411.91015625,Estimated,-3.71000004,15.71000004,120.06999969,-1.34000003,-2.80999994,129.72999573,-1.44000006,-3.26999998,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:04:15,Rok,7I XXIO eleven,7 Iron,116.63999691,-2.25,-6.11,-7.0,-0.89,151.52399654,1.29907408,18.39999962,-6.51000023,4192.89404297,39.51826096,4193.08007812,Estimated,-0.54000002,16.38999939,113.41999817,-7.1500001,-14.10999966,122.75,-7.11999989,-15.21000004,,,1.2276154,5.0,98.3,86,PULL,NEUTRAL,PULL
2022-11-27 11:04:25,Rok,7I XXIO eleven,7 Iron,124.4519967,-6.23,0.54,9.2,8.66,87.33599851,0.70176454,16.31999969,7.61999989,6199.96191406,-748.08197021,6244.93017578,Estimated,6.88000011,3.47000003,38.70999908,8.94999981,6.01999998,50.81999969,9.18999958,8.11999989,,,1.2276154,5.0,98.3,86,PUSH,FADE,PUSH_FADE
2022-11-27 11:04:52,Rok,7I XXIO eleven,7 Iron,122.86799675,-0.19,-7.5,-7.2,0.3,89.53200065,0.72868447,12.43000031,-6.8499999,4191.27929688,-67.30528259,4191.81982422,Estimated,0.92000002,2.18000007,33.97000122,-6.80999994,-4.03000021,53.06000137,-6.73999977,-6.23000002,,,1.2276154,5.0,98.3,86,PULL,NEUTRAL,PULL
2022-11-27 11:05:05,Rok,7I XXIO eleven,7 Iron,119.80799683,-1.68,-8.18,0.06,8.24,151.48800258,1.26442313,1.88,-0.97000003,2321.39404297,-734.16040039,2434.7199707,Estimated,17.54999924,0.28999999,30.46999931,0.14,0.08,103.51999664,0.94999999,1.71000004,,,1.2276154,5.0,98.3,86,STRAIGHT,FADE,STRAIGHT_FADE
2022-11-27 11:06:29,Rok,7I XXIO eleven,7 Iron,124.88399669,0.28,-1.15,1.93,3.08,163.94399895,1.31277028,16.62999916,1.44000006,4917.22070312,-274.91531372,4924.89990234,Estimated,3.20000005,18.37999916,124.23999786,2.91000009,6.30999994,132.66000366,2.98000002,6.88999987,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:07:55,Rok,7I XXIO eleven,7 Iron,116.31599692,0.41,5.93,13.25,7.32,137.30399417,1.18043947,10.65999985,11.61999989,2789.22436523,-562.40625,2845.36010742,Estimated,11.39999962,4.9000001,77.43000031,14.11999989,18.87999916,103.33000183,14.65999985,26.13999939,,,1.2276154,5.0,98.3,86,PUSH,FADE,PUSH_FADE
2022-11-27 11:08:08,Rok,7I XXIO eleven,7 Iron,117.1799969,1.92,4.61,3.14,-1.47,157.06799968,1.34039942,10.52000046,3.16000009,2951.45214844,144.3500824,2954.97998047,Estimated,-2.79999995,7.51999998,104.47000122,2.5,4.55999994,127.19000244,2.3499999,5.23000002,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:08:23,Rok,7I XXIO eleven,7 Iron,117.32399689,1.56,7.62,-0.88,-8.5,153.68399098,1.30991097,13.0,0.23,3319.47143555,737.12493896,3400.33007812,Estimated,-12.52000046,9.86999989,107.01999664,-3.45000005,-6.44000006,121.37999725,-3.88000011,-8.22000027,,,1.2276154,5.0,98.3,86,STRAIGHT,DRAW,STRAIGHT_DRAW
2022-11-27 11:08:43,Rok,7I XXIO eleven,7 Iron,123.29999673,-1.71,-5.62,-1.99,3.63,142.91999896,1.15912411,18.59000015,-2.33999991,5214.99023438,-344.5508728,5226.35986328,Estimated,3.77999997,14.96000004,101.83999634,-1.08000004,-1.91999996,109.98000336,-0.97000003,-1.86000001,,,1.2276154,5.0,98.3,86,STRAIGHT,FADE,STRAIGHT_FADE
2022-11-27 11:09:05,Rok,7I XXIO eleven,7 Iron,123.62399673,1.13,2.9,4.95,2.05,158.6519947,1.28334303,5.05999994,4.42999983,2618.35913086,-160.60440063,2623.2800293,Estimated,3.50999999,2.33999991,74.94000244,5.03999996,6.59000015,119.26000214,5.25,10.92000008,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:09:58,Rok,7I XXIO eleven,7 Iron,121.39199678,-3.16,-1.33,-4.53,-3.2,154.4400014,1.27224204,16.22999954,-3.88000011,4374.00439453,262.92828369,4381.89990234,Estimated,-3.44000006,14.84000015,114.06999969,-5.38999987,-10.72000027,123.80999756,-5.46000004,-11.78999996,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:10:20,Rok,7I XXIO eleven,7 Iron,122.36399676,1.89,0.05,-10.03,-10.08,167.83199171,1.37157985,14.51000023,-8.23999977,3897.32763672,861.8760376,3991.48999023,Estimated,-12.47000027,15.26000023,127.44999695,-13.43999958,-29.62000084,138.49000549,-13.76000023,-32.93999863,,,1.2276154,5.0,98.3,86,PULL,HOOK,PULL_HOOK
2022-11-27 11:10:36,Rok,7I XXIO eleven,7 Iron,125.56799667,-0.69,2.89,4.11,1.22,162.3959979,1.2932913,17.64999962,3.73000002,5427.15380859,-89.99385834,5427.89990234,Estimated,0.94999999,19.60000038,122.01000214,4.48000002,9.52000046,129.33000183,4.46999979,10.07999992,,,1.2276154,5.0,98.3,86,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-27 11:10:53,Rok,7I XXIO eleven,7 Iron,112.67999701,-0.7,1.88,-3.41,-5.29,136.33199254,1.20990412,16.62000084,-2.55999994,3926.88110352,425.90231323,3949.90991211,Estimated,-6.19000006,10.67000008,92.90000153,-4.51000023,-7.30999994,104.48999786,-4.69000006,-8.55000019,,,1.2276154,5.0,98.3,86,STRAIGHT,DRAW,STRAIGHT_DRAW
